,Date,Open,Adj Close,Predicted_Label
322,2017-08-02,50.0885009765625,49.79449844360352,0
32,2017-08-14,48.920501708984375,49.165000915527344,1
117,2017-08-22,47.7760009765625,48.345001220703125,1
143,2017-08-23,47.96900177001953,47.900001525878906,0
161,2017-08-25,47.79999923706055,47.26300048828125,0
171,2017-09-13,49.19850158691406,49.97999954223633,1
87,2017-09-20,48.589500427246094,48.66049957275391,0
251,2017-09-22,48.05049896240234,47.755001068115234,0
345,2017-09-29,48.00550079345703,48.067501068115234,0
177,2017-10-04,47.71049880981445,48.272499084472656,0
16,2017-10-12,49.84049987792969,50.04650115966797,0
206,2017-10-16,50.422000885009766,50.31700134277344,0
119,2017-10-18,50.4635009765625,49.84999847412109,0
116,2017-10-19,49.5,49.33050155639648,0
239,2017-10-24,48.45000076293945,48.79499816894531,1
255,2017-10-27,52.90700149536133,55.04750061035156,1
108,2017-10-31,55.45000076293945,55.26399993896485,1
148,2017-11-30,58.35499954223633,58.837501525878906,1
240,2017-12-14,58.18550109863281,58.7130012512207,1
58,2017-12-22,58.604000091552734,58.417999267578125,0
185,2018-01-05,60.8754997253418,61.45700073242188,1
209,2018-01-08,61.79999923706055,62.34349822998047,1
60,2018-01-24,68.74099731445312,67.87550354003906,0
267,2018-02-02,73.86949920654297,71.49749755859375,0
218,2018-03-06,76.66000366210938,76.88200378417969,1
234,2018-03-14,79.8499984741211,79.55000305175781,0
298,2018-03-16,79.17250061035156,78.58399963378906,0
101,2018-03-21,79.32250213623047,79.09300231933594,0
313,2018-03-23,76.95050048828125,74.77799987792969,0
275,2018-04-06,71.49849700927734,70.2614974975586,0
23,2018-04-09,71.25150299072266,70.30400085449219,0
39,2018-04-12,71.9749984741211,72.42500305175781,1
321,2018-04-26,74.25050354003906,75.89800262451172,1
332,2018-04-27,81.70050048828125,78.63099670410156,0
164,2018-05-03,78.00050354003906,78.60399627685547,1
22,2018-05-14,80.19999694824219,80.0770034790039,0
66,2018-05-16,78.875,79.36399841308594,1
52,2018-05-29,80.0354995727539,80.64350128173828,0
110,2018-06-21,88.0,86.51100158691406,0
115,2018-06-25,85.12550354003906,83.15750122070312,0
26,2018-06-26,83.61849975585938,84.55449676513672,1
277,2018-07-02,84.13500213623047,85.68900299072266,1
78,2018-07-06,84.80000305175781,85.53150177001953,1
286,2018-07-11,86.89949798583984,87.75,1
80,2018-07-12,88.22550201416016,89.83100128173828,1
237,2018-07-17,90.5780029296875,92.19650268554688,1
220,2018-07-24,91.45050048828124,91.46199798583984,1
133,2018-07-26,91.9499969482422,90.4000015258789,0
323,2018-08-01,89.19999694824219,89.8584976196289,1
91,2018-08-08,93.0500030517578,94.32599639892578,1
274,2018-08-09,94.0999984741211,94.9260025024414,1
5,2018-08-16,95.1969985961914,94.32599639892578,0
280,2018-09-06,100.32550048828124,97.91549682617188,0
146,2018-09-19,97.0250015258789,96.3209991455078,0
46,2018-09-20,96.9290008544922,97.21499633789062,1
