,Date,Open,Adj Close,Predicted_Label
202,2019-06-27,14.630000114440918,14.855999946594238,1
6,2019-07-17,17.044666290283203,16.99066734313965,1
110,2019-07-25,15.56666660308838,15.254667282104492,0
111,2019-07-29,15.13933277130127,15.718000411987305,1
8,2019-08-14,15.413999557495115,14.641332626342772,1
107,2019-08-15,14.723999977111816,14.37600040435791,1
78,2019-08-22,14.853333473205566,14.8100004196167,1
58,2019-08-26,14.239999771118164,14.333333015441896,1
157,2019-08-29,14.600000381469728,14.780667304992676,1
160,2019-09-03,14.93866729736328,15.000666618347168,1
72,2019-09-05,14.833333015441896,15.305333137512209,1
45,2019-09-12,16.51333236694336,16.391332626342773,1
237,2019-09-16,16.399999618530273,16.187332153320312,1
121,2019-09-23,16.0,16.082000732421875,1
67,2019-10-01,16.100000381469727,16.312667846679688,1
17,2019-10-03,15.457332611083984,15.535332679748535,0
66,2019-10-08,15.724666595458984,16.003332138061523,0
116,2019-10-15,17.18000030517578,17.19266700744629,1
244,2019-10-29,21.332666397094727,21.08133316040039,0
51,2019-11-05,21.308000564575195,21.14800071716309,1
138,2019-11-13,23.666667938232425,23.073999404907227,1
161,2019-11-15,23.3759994506836,23.47800064086914,0
133,2019-11-21,23.63400077819824,23.655332565307617,1
34,2019-12-06,22.33333206176757,22.392667770385746,0
95,2019-12-13,24.06999969482422,23.892667770385746,0
220,2019-12-24,27.89066696166992,28.350000381469727,1
229,2020-01-02,28.299999237060547,28.68400001525879,0
203,2020-01-13,32.900001525878906,34.990665435791016,1
125,2020-01-24,38.04199981689453,37.654666900634766,1
228,2020-01-29,38.37933349609375,38.732666015625,1
248,2020-02-05,54.88399887084961,48.97999954223633,0
35,2020-02-12,51.858001708984375,51.15266799926758,0
185,2020-02-14,52.4813346862793,53.33533477783203,1
56,2020-02-21,60.46533203125,60.06666564941406,1
245,2020-03-06,46.0,46.89866638183594,1
79,2020-03-18,25.933332443237305,24.08133316040039,0
98,2020-03-24,31.81999969482422,33.66666793823242,1
82,2020-03-26,36.49266815185547,35.21066665649414,0
144,2020-03-27,33.66666793823242,34.29066848754883,1
42,2020-04-09,37.4726676940918,38.20000076293945,1
154,2020-04-13,39.34400177001953,43.39666748046875,1
156,2020-04-14,46.59799957275391,47.32600021362305,1
63,2020-04-24,47.387332916259766,48.34333419799805,1
109,2020-04-28,53.042667388916016,51.27466583251953,0
251,2020-04-29,52.678001403808594,53.367332458496094,1
128,2020-05-13,54.72200012207031,52.73066711425781,0
201,2020-05-15,52.68999862670898,53.27799987792969,1
47,2020-05-27,54.7239990234375,54.68199920654297,1
252,2020-06-01,57.20000076293945,59.87333297729492,1
232,2020-06-02,59.64666748046875,58.77066802978516,0
221,2020-06-05,58.52266693115234,59.04399871826172,1
247,2020-06-16,67.4566650390625,65.47533416748047,0
73,2020-06-23,66.59200286865234,66.78533172607422,1
46,2020-06-25,63.61800003051758,65.73200225830078,1
71,2020-07-01,72.19999694824219,74.64199829101562,1
197,2020-07-09,93.1326675415039,92.9520034790039,1
41,2020-07-16,98.47733306884766,100.04266357421876,1
84,2020-07-20,101.267333984375,109.53333282470705,1
158,2020-07-31,101.0,95.38400268554688,0
186,2020-08-05,99.5326690673828,99.00133514404295,0
166,2020-08-06,99.38866424560548,99.30533599853516,0
219,2020-08-12,98.0,103.65066528320312,1
211,2020-08-14,110.99933624267578,110.04733276367188,1
117,2020-08-17,111.8000030517578,122.3759994506836,1
246,2020-08-18,126.59933471679688,125.80599975585938,1
213,2020-08-25,131.65933227539062,134.8893280029297,1
135,2020-08-28,153.00799560546875,147.55999755859375,0
198,2020-09-01,167.3800048828125,158.35000610351562,0
236,2020-09-02,159.663330078125,149.1233367919922,0
96,2020-09-08,118.66666412353516,110.06999969482422,0
231,2020-09-29,138.6666717529297,139.69000244140625,1
214,2020-10-05,141.11666870117188,141.89332580566406,1
